Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset
2,2007-06-17,91,71,81,,65,70,0,16,,
2,2007-06-18,89,73,81,,65,70,0,16,,
2,2007-06-19,81,65,73,,55,63,0, 8,,
2,2007-06-20,85,62,74,,50,61,0, 9,,
2,2007-06-21,80,66,73,,51,61,0, 8,,
2,2007-06-22,75,62,69,,49,58,0, 4,,
2,2007-06-23,68,61,65,,60,62,0, 0,,
2,2007-06-24,75,65,70,,62,65,0, 5,,
2,2007-06-25,86,67,77,,67,70,0,12,,
2,2007-06-26,91,73,82,,69,72,0,17,,
2,2007-06-27,89,71,80,,69,72,0,15,,
2,2007-06-28,73,61,67,,56,61,0, 2,,
2,2007-06-29,71,56,64,,56,60,1, 0,,
2,2007-06-30,77,58,68,,49,58,0, 3,,
2,2007-07-01,76,61,69,,51,59,0, 4,,
2,2007-07-02,77,58,68,,50,59,0, 3,,
2,2007-07-03,83,63,73,,56,63,0, 8,,
2,2007-07-04,84,67,76,,65,69,0,11,,
2,2007-07-05,88,70,79,,60,67,0,14,,
2,2007-07-06,84,68,76,,57,65,0,11,,
2,2007-07-07,88,68,78,,62,68,0,13,,
2,2007-07-08,93,75,84,,67,72,0,19,,
2,2007-07-09,93,72,83,,67,71,0,18,,
2,2007-07-10,89,70,80,,67,71,0,15,,
2,2007-07-11,77,63,70,,51,59,0, 5,,
2,2007-07-12,80,60,70,,51,60,0, 5,,
2,2007-07-13,74,59,67,,53,59,0, 2,,
2,2007-07-14,85,62,74,,55,62,0, 9,,
2,2007-07-15,80,64,72,,52,61,0, 7,,
2,2007-07-16,82,66,74,,60,65,0, 9,,
2,2007-07-17,83,69,76,,65,69,0,11,,
2,2007-07-18,85,69,77,,69,71,0,12,,
2,2007-07-19,82,63,73,,62,66,0, 8,,
2,2007-07-20,74,62,68,,52,59,0, 3,,
2,2007-07-21,75,58,67,,52,59,0, 2,,
2,2007-07-22,81,61,71,,54,61,0, 6,,
2,2007-07-23,82,63,73,,55,63,0, 8,,
2,2007-07-24,82,65,74,,57,64,0, 9,,
2,2007-07-25,83,70,77,,60,66,0,12,,
2,2007-07-26,84,64,74,,65,68,0, 9,,
2,2007-07-27,83,70,77,,67,70,0,12,,
2,2007-07-28,80,70,75,,65,68,0,10,,
2,2007-07-29,85,67,76,,56,64,0,11,,
2,2007-07-30,86,65,76,,57,65,0,11,,
2,2007-07-31,89,69,79,,60,68,0,14,,
2,2007-08-01,91,69,80,,63,70,0,15,,
2,2007-08-02,91,73,82,,66,72,0,17,,
2,2007-08-03,88,73,81,,58,67,0,16,,
2,2007-08-04,81,68,75,,58,65,0,10,,
2,2007-08-05,88,68,78,,71,72,0,13,,
2,2007-08-06,85,75,80,,72,74,0,15,,
2,2007-08-07,92,73,83,,73,76,0,18,,
2,2007-08-08,87,74,81,,72,74,0,16,,
2,2007-08-09,85,73,79,,71,73,0,14,,
2,2007-08-10,86,73,80,,69,72,0,15,,
2,2007-08-11,88,68,78,,65,70,0,13,,
2,2007-08-12,87,68,78,,67,70,0,13,,
2,2007-08-13,80,69,75,,54,63,0,10,,
2,2007-08-14,84,65,75,,66,69,0,10,,
2,2007-08-15,81,72,77,,69,71,0,12,,
2,2007-08-16,77,67,72,,65,68,0, 7,,
2,2007-08-17,80,65,73,,54,62,0, 8,,
2,2007-08-18,69,60,65,,54,58,0, 0,,
2,2007-08-19,69,62,66,,63,64,0, 1,,
2,2007-08-20,76,68,72,,69,70,0, 7,,
2,2007-08-21,85,69,77,,70,72,0,12,,
2,2007-08-22,90,70,80,,70,73,0,15,,
2,2007-08-23,89,70,80,,69,71,0,15,,
2,2007-08-24,81,69,75,,67,69,0,10,,
2,2007-08-25,76,65,71,,63,66,0, 6,,
2,2007-08-26,78,61,70,,55,62,0, 5,,
2,2007-08-27,79,63,71,,59,64,0, 6,,
2,2007-08-28,90,69,80,,65,70,0,15,,
2,2007-08-29,86,69,78,,64,69,0,13,,
2,2007-08-30,75,60,68,,54,61,0, 3,,
2,2007-08-31,76,57,67,,54,60,0, 2,,
2,2007-09-01,79,60,70,,56,62,0, 5,,
2,2007-09-02,84,62,73,,56,63,0, 8,,
2,2007-09-03,88,64,76,,61,67,0,11,,
2,2007-09-04,90,67,79,,59,67,0,14,,
2,2007-09-05,91,72,82,,62,69,0,17,,
2,2007-09-06,84,74,79,,66,70,0,14,,
2,2007-09-07,84,71,78,,67,70,0,13,,
2,2007-09-08,78,68,73,,58,64,0, 8,,
2,2007-09-09,79,63,71,,59,64,0, 6,,
2,2007-09-10,73,55,64,,59,62,1, 0,,
2,2007-09-11,71,51,61,,44,52,4, 0,,
2,2007-09-12,66,46,56,,43,50,9, 0,,
2,2007-09-13,79,53,66,,43,54,0, 1,,
2,2007-09-14,67,47,57,,40,49,8, 0,,
2,2007-09-15,62,42,52,,35,45,13, 0,,
2,2007-09-16,72,49,61,,38,50,4, 0,,
2,2007-09-17,80,55,68,,48,57,0, 3,,
2,2007-09-18,89,66,78,,57,65,0,13,,
2,2007-09-19,84,68,76,,59,65,0,11,,
2,2007-09-20,76,63,70,,59,64,0, 5,,
2,2007-09-21,90,68,79,,59,66,0,14,,
2,2007-09-22,72,58,65,,45,55,0, 0,,
2,2007-09-23,83,55,69,,50,59,0, 4,,
2,2007-09-24,91,71,81,,62,69,0,16,,
2,2007-09-25,83,67,75,,66,69,0,10,,
2,2007-09-26,68,55,62,,51,56,3, 0,,
2,2007-09-27,74,52,63,,49,55,2, 0,,
2,2007-09-28,73,53,63,,46,54,2, 0,,
2,2007-09-29,82,52,67,,45,55,0, 2,,
2,2007-09-30,84,61,73,,48,59,0, 8,,
2,2007-10-01,68,59,64,,59,61,1, 0,,
2,2007-10-02,80,59,70,,59,63,0, 5,,
2,2007-10-03,74,56,65,,47,56,0, 0,,
2,2007-10-04,83,56,70,,56,62,0, 5,,
2,2007-10-05,85,68,77,,65,69,0,12,,
2,2007-10-06,88,71,80,,66,71,0,15,,
2,2007-10-07,88,70,79,,65,70,0,14,,
2,2007-10-08,88,62,75,,60,66,0,10,,
2,2007-10-09,77,50,64,,44,53,1, 0,,
2,2007-10-10,53,47,50,,37,44,15, 0,,
2,2007-10-11,56,48,52,,39,45,13, 0,,
2,2007-10-12,57,45,51,,35,43,14, 0,,
2,2007-10-13,59,44,52,,40,47,13, 0,,
2,2007-10-14,63,55,59,,47,52,6, 0,,
2,2007-10-15,77,55,66,,50,57,0, 1,,
2,2007-10-16,68,56,62,,55,58,3, 0,,
2,2007-10-17,74,50,62,,53,57,3, 0,,
2,2007-10-18,79,60,70,,57,62,0, 5,,
2,2007-10-19,61,53,57,,48,52,8, 0,,
2,2007-10-20,74,47,61,,43,52,4, 0,,
2,2007-10-21,79,61,70,,46,56,0, 5,,
2,2007-10-22,66,47,57,,47,51,8, 0,,
2,2007-10-23,53,46,50,,39,45,15, 0,,
2,2007-10-24,53,45,49,,35,43,16, 0,,
2,2007-10-25,57,45,51,,40,46,14, 0,,
2,2007-10-26,66,53,60,,49,52,5, 0,,
2,2007-10-27,57,39,48,,41,46,17, 0,,
2,2007-10-28,56,34,45,,30,39,20, 0,,
2,2007-10-29,60,39,50,,32,42,15, 0,,
2,2007-10-30,66,42,54,,37,46,11, 0,,
2,2007-10-31,63,43,53,,38,46,12, 0,,
2,2008-05-01,73,48,61,,51,57,4, 0,,
2,2008-05-02,74,55,65,,56,60,0, 0,,
2,2008-05-03,56,44,50,,42,46,15, 0,,
2,2008-05-04,66,39,53,,33,45,12, 0,,
2,2008-05-05,74,50,62,,38,50,3, 0,,
2,2008-05-06,82,52,67,,43,55,0, 2,,
2,2008-05-07,71,50,61,,53,56,4, 0,,
2,2008-05-08,59,47,53,,36,45,12, 0,,
2,2008-05-09,58,42,50,,35,44,15, 0,,
2,2008-05-10,61,41,51,,39,46,14, 0,,
2,2008-05-11,60,47,54,,44,48,11, 0,,
2,2008-05-12,53,41,47,,39,43,18, 0,,
2,2008-05-13,73,45,59,,45,52,6, 0,,
2,2008-05-14,61,46,54,,49,52,11, 0,,
2,2008-05-15,57,43,50,,37,45,15, 0,,
2,2008-05-16,72,41,57,,41,50,8, 0,,
2,2008-05-17,73,50,62,,41,52,3, 0,,
2,2008-05-18,55,45,50,,40,46,15, 0,,
2,2008-05-19,59,42,51,,34,44,14, 0,,
2,2008-05-20,64,49,57,,37,47,8, 0,,
2,2008-05-21,65,45,55,,36,46,10, 0,,
2,2008-05-22,56,47,52,,38,45,13, 0,,
2,2008-05-23,59,48,54,,40,46,11, 0,,
2,2008-05-24,68,44,56,,38,48,9, 0,,
2,2008-05-25,78,51,65,,48,57,0, 0,,
2,2008-05-26,84,53,69,,60,65,0, 4,,
2,2008-05-27,53,45,49,,36,43,16, 0,,
2,2008-05-28,61,45,53,,35,44,12, 0,,
2,2008-05-29,68,45,57,,38,48,8, 0,,
2,2008-05-30,77,58,68,,60,63,0, 3,,
2,2008-05-31,79,60,70,,56,62,0, 5,,
2,2008-06-01,71,56,64,,46,55,1, 0,,
2,2008-06-02,85,61,73,,53,61,0, 8,,
2,2008-06-03,74,57,66,,58,60,0, 1,,
2,2008-06-04,78,59,69,,61,64,0, 4,,
2,2008-06-05,88,68,78,,69,72,0,13,,
2,2008-06-06,86,73,80,,69,72,0,15,,
2,2008-06-07,84,72,78,,71,73,0,13,,
2,2008-06-08,87,65,76,,69,71,0,11,,
2,2008-06-09,74,65,70,,64,66,0, 5,,
2,2008-06-10,80,60,70,,56,63,0, 5,,
2,2008-06-11,86,66,76,,55,64,0,11,,
2,2008-06-12,91,73,82,,63,70,0,17,,
2,2008-06-13,82,66,74,,63,66,0, 9,,
2,2008-06-14,84,61,73,,52,62,0, 8,,
2,2008-06-15,82,60,71,,60,64,0, 6,,
2,2008-06-16,74,60,67,,49,57,0, 2,,
2,2008-06-17,76,56,66,,46,55,0, 1,,
2,2008-06-18,75,58,67,,49,56,0, 2,,
2,2008-06-19,80,55,68,,47,57,0, 3,,
2,2008-06-20,83,60,72,,52,59,0, 7,,
2,2008-06-21,83,62,73,,53,61,0, 8,,
2,2008-06-22,81,61,71,,53,60,0, 6,,
2,2008-06-23,76,57,67,,54,59,0, 2,,
2,2008-06-24,82,57,70,,52,60,0, 5,,
2,2008-06-25,79,67,73,,65,68,0, 8,,
2,2008-06-26,87,71,79,,67,71,0,14,,
2,2008-06-27,85,69,77,,67,70,0,12,,
2,2008-06-28,84,66,75,,55,63,0,10,,
2,2008-06-29,77,61,69,,58,61,0, 4,,
2,2008-06-30,81,59,70,,49,58,0, 5,,
2,2008-07-01,84,57,71,,50,60,0, 6,,
2,2008-07-02,89,63,76,,62,67,0,11,,
2,2008-07-03,71,59,65,,51,57,0, 0,,
2,2008-07-04,75,58,67,,50,58,0, 2,,
2,2008-07-05,79,57,68,,52,60,0, 3,,
2,2008-07-06,88,63,76,,58,65,0,11,,
2,2008-07-07,87,74,81,,68,71,0,16,,
2,2008-07-08,86,46,,,68,71,,,,
2,2008-07-09,85,67,76,,55,64,0,11,,
2,2008-07-10,84,64,74,,62,67,0, 9,,
2,2008-07-11,89,64,77,,65,69,0,12,,
2,2008-07-12,83,66,75,,64,67,0,10,,
2,2008-07-13,79,61,70,,53,61,0, 5,,
2,2008-07-14,84,62,73,,54,62,0, 8,,
2,2008-07-15,91,67,79,,63,69,0,14,,
2,2008-07-16,91,73,82,,67,71,0,17,,
2,2008-07-17,90,74,82,,66,71,0,17,,
2,2008-07-18,91,73,82,,67,71,0,17,,
2,2008-07-19,80,70,75,,70,71,0,10,,
2,2008-07-20,86,68,77,,68,71,0,12,,
2,2008-07-21,84,70,77,,66,69,0,12,,
2,2008-07-22,75,66,71,,61,64,0, 6,,
2,2008-07-23,81,60,71,,52,61,0, 6,,
2,2008-07-24,82,60,71,,52,61,0, 6,,
2,2008-07-25,84,65,75,,63,67,0,10,,
2,2008-07-26,85,67,76,,58,66,0,11,,
2,2008-07-27,83,63,73,,58,65,0, 8,,
2,2008-07-28,84,70,77,,63,68,0,12,,
2,2008-07-29,89,70,80,,67,71,0,15,,
2,2008-07-30,90,72,81,,67,71,0,16,,
2,2008-07-31,89,71,80,,69,72,0,15,,
2,2008-08-01,89,72,81,,69,73,0,16,,
2,2008-08-02,80,68,74,,60,65,0, 9,,
2,2008-08-03,85,63,74,,61,67,0, 9,,
2,2008-08-04,88,69,79,,69,71,0,14,,
2,2008-08-05,88,71,80,,69,72,0,15,,
2,2008-08-06,84,67,76,,60,66,0,11,,
2,2008-08-07,81,63,72,,57,63,0, 7,,
2,2008-08-08,78,64,71,,54,61,0, 6,,
2,2008-08-09,78,61,70,,58,63,0, 5,,
2,2008-08-10,74,61,68,,53,59,0, 3,,
2,2008-08-11,76,60,68,,57,62,0, 3,,
2,2008-08-12,77,62,70,,57,62,0, 5,,
2,2008-08-13,77,66,72,,59,63,0, 7,,
2,2008-08-14,78,65,72,,60,64,0, 7,,
2,2008-08-15,78,61,70,,55,61,0, 5,,
2,2008-08-16,82,59,71,,53,61,0, 6,,
2,2008-08-17,85,63,74,,59,65,0, 9,,
2,2008-08-18,85,65,75,,58,65,0,10,,
2,2008-08-19,84,65,75,,64,68,0,10,,
2,2008-08-20,81,67,74,,59,65,0, 9,,
2,2008-08-21,82,69,76,,60,66,0,11,,
2,2008-08-22,84,75,80,,69,72,0,15,,
2,2008-08-23,90,69,80,,68,71,0,15,,
2,2008-08-24,78,65,72,,57,63,0, 7,,
2,2008-08-25,74,66,70,,56,61,0, 5,,
2,2008-08-26,75,61,68,,55,61,0, 3,,
2,2008-08-27,82,60,71,,57,63,0, 6,,
2,2008-08-28,81,67,74,,65,68,0, 9,,
2,2008-08-29,84,67,76,,61,66,0,11,,
2,2008-08-30,87,61,74,,55,64,0, 9,,
2,2008-08-31,89,65,77,,57,65,0,12,,
2,2008-09-01,89,67,78,,54,64,0,13,,
2,2008-09-02,95,68,82,,61,68,0,17,,
2,2008-09-03,77,68,73,,62,65,0, 8,,
2,2008-09-04,68,63,66,,63,64,0, 1,,
2,2008-09-05,68,58,63,,58,60,2, 0,,
2,2008-09-06,74,56,65,,54,59,0, 0,,
2,2008-09-07,74,58,66,,52,58,0, 1,,
2,2008-09-08,70,53,62,,54,56,3, 0,,
2,2008-09-09,68,49,59,,46,52,6, 0,,
2,2008-09-10,72,50,61,,47,54,4, 0,,
2,2008-09-11,79,57,68,,57,62,0, 3,,
2,2008-09-12,73,69,71,,68,69,0, 6,,
2,2008-09-13,77,69,73,,71,72,0, 8,,
2,2008-09-14,72,58,65,,62,63,0, 0,,
2,2008-09-15,65,55,60,,53,56,5, 0,,
2,2008-09-16,71,50,61,,50,55,4, 0,,
2,2008-09-17,83,58,71,,56,61,0, 6,,
2,2008-09-18,74,62,68,,56,60,0, 3,,
2,2008-09-19,79,58,69,,53,60,0, 4,,
2,2008-09-20,82,59,71,,56,62,0, 6,,
2,2008-09-21,80,60,70,,61,65,0, 5,,
2,2008-09-22,82,63,73,,59,64,0, 8,,
2,2008-09-23,83,63,73,,56,63,0, 8,,
2,2008-09-24,82,62,72,,57,63,0, 7,,
2,2008-09-25,78,66,72,,61,65,0, 7,,
2,2008-09-26,78,60,69,,54,61,0, 4,,
2,2008-09-27,80,55,68,,54,60,0, 3,,
2,2008-09-28,69,60,65,,57,60,0, 0,,
2,2008-09-29,65,56,61,,57,59,4, 0,,
2,2008-09-30,61,48,55,,45,50,10, 0,,
2,2008-10-01,62,46,,,41,47,,,,
2,2008-10-02,62,43,53,,40,47,12, 0,,
2,2008-10-03,59,49,54,,43,49,11, 0,,
2,2008-10-04,60,42,51,,39,46,14, 0,,
2,2008-10-05,61,46,54,,41,49,11, 0,,
2,2008-10-06,70,56,63,,46,54,2, 0,,
2,2008-10-07,65,56,61,,52,56,4, 0,,
2,2008-10-08,63,52,58,,52,55,7, 0,,
2,2008-10-09,69,48,59,,39,49,6, 0,,
2,2008-10-10,73,46,60,,41,51,5, 0,,
2,2008-10-11,80,55,68,,50,57,0, 3,,
2,2008-10-12,86,62,74,,54,62,0, 9,,
2,2008-10-13,79,64,72,,57,63,0, 7,,
2,2008-10-14,70,55,63,,43,52,2, 0,,
2,2008-10-15,64,50,57,,51,54,8, 0,,
2,2008-10-16,59,44,52,,39,45,13, 0,,
2,2008-10-17,56,44,50,,40,46,15, 0,,
2,2008-10-18,60,46,53,,41,47,12, 0,,
2,2008-10-19,62,44,53,,37,46,12, 0,,
2,2008-10-20,56,44,50,,43,47,15, 0,,
2,2008-10-21,55,39,47,,37,43,18, 0,,
2,2008-10-22,54,40,47,,29,40,18, 0,,
2,2008-10-23,60,40,50,,34,43,15, 0,,
2,2008-10-24,56,45,51,,44,47,14, 0,,
2,2008-10-25,53,43,48,,41,45,17, 0,,
2,2008-10-26,56,36,46,,34,41,19, 0,,
2,2008-10-27,47,34,41,,28,35,24, 0,,
2,2008-10-28,45,32,39,,23,33,26, 0,,
2,2008-10-29,51,33,42,,25,35,23, 0,,
2,2008-10-30,63,34,49,,31,41,16, 0,,
2,2008-10-31,71,49,60,,46,51,5, 0,,
2,2009-05-01,62,48,55,,42,48,10, 0,,
2,2009-05-02,65,45,55,,34,46,10, 0,,
2,2009-05-03,70,45,58,,35,48,7, 0,,
2,2009-05-04,70,49,60,,36,48,5, 0,,
2,2009-05-05,70,54,62,,41,51,3, 0,,
2,2009-05-06,75,56,66,,51,56,0, 1,,
2,2009-05-07,77,56,67,,53,58,0, 2,,
2,2009-05-08,74,57,66,,55,59,0, 1,,
2,2009-05-09,64,45,55,,44,49,10, 0,,
2,2009-05-10,67,43,55,,40,47,10, 0,,
2,2009-05-11,61,40,51,,34,44,14, 0,,
2,2009-05-12,72,44,58,,32,47,7, 0,,
2,2009-05-13,71,54,63,,58,60,2, 0,,
2,2009-05-14,69,55,62,,44,53,3, 0,,
2,2009-05-15,63,55,59,,52,55,6, 0,,
2,2009-05-16,62,47,55,,41,50,10, 0,,
2,2009-05-17,59,41,50,,28,42,15, 0,,
2,2009-05-18,67,45,56,,30,45,9, 0,,
2,2009-05-19,80,54,67,,43,54,0, 2,,
2,2009-05-20,85,61,73,,43,57,0, 8,,
2,2009-05-21,85,60,73,,48,59,0, 8,,
2,2009-05-22,70,56,63,,47,54,2, 0,,
2,2009-05-23,79,55,67,,51,58,0, 2,,
2,2009-05-24,70,56,63,,47,54,2, 0,,
2,2009-05-25,64,56,60,,46,53,5, 0,,
2,2009-05-26,76,56,66,,54,58,0, 1,,
2,2009-05-27,75,58,67,,60,63,0, 2,,
2,2009-05-28,64,55,60,,51,54,5, 0,,
2,2009-05-29,77,55,66,,49,55,0, 1,,
2,2009-05-30,79,53,66,,46,55,0, 1,,
2,2009-05-31,72,49,61,,43,52,4, 0,,
2,2009-06-01,80,52,66,,54,58,0, 1,,
2,2009-06-02,61,50,56,,47,51,9, 0,,
2,2009-06-03,61,47,54,,40,48,11, 0,,
2,2009-06-04,68,47,58,,38,49,7, 0,,
2,2009-06-05,80,47,64,,43,54,1, 0,,
2,2009-06-06,66,55,61,,48,53,4, 0,,
2,2009-06-07,74,56,65,,54,59,0, 0,,
2,2009-06-08,82,55,69,,61,65,0, 4,,
2,2009-06-09,67,56,62,,53,56,3, 0,,
2,2009-06-10,67,55,61,,50,55,4, 0,,
2,2009-06-11,60,53,57,,53,54,8, 0,,
2,2009-06-12,72,50,61,,49,55,4, 0,,
2,2009-06-13,66,56,61,,52,55,4, 0,,
2,2009-06-14,76,54,65,,50,57,0, 0,,
2,2009-06-15,81,57,69,,49,58,0, 4,,
2,2009-06-16,71,64,68,,57,61,0, 3,,
2,2009-06-17,73,63,68,,60,63,0, 3,,
2,2009-06-18,81,63,72,,64,67,0, 7,,
2,2009-06-19,88,66,77,,68,70,0,12,,
2,2009-06-20,88,69,79,,65,70,0,14,,
2,2009-06-21,86,71,79,,64,69,0,14,,
2,2009-06-22,89,70,80,,67,71,0,15,,
2,2009-06-23,92,75,84,,68,73,0,19,,
2,2009-06-24,93,73,83,,68,73,0,18,,
2,2009-06-25,93,76,85,,68,73,0,20,,
2,2009-06-26,86,72,79,,61,67,0,14,,
2,2009-06-27,90,67,79,,60,67,0,14,,
2,2009-06-28,83,68,76,,53,62,0,11,,
2,2009-06-29,78,65,72,,54,61,0, 7,,
2,2009-06-30,68,61,65,,53,58,0, 0,,
2,2009-07-01,65,57,61,,54,57,4, 0,,
2,2009-07-02,73,60,67,,55,60,0, 2,,
2,2009-07-03,79,62,71,,56,62,0, 6,,
2,2009-07-04,69,63,66,,58,62,0, 1,,
2,2009-07-05,82,61,72,,59,64,0, 7,,
2,2009-07-06,85,63,74,,54,63,0, 9,,
2,2009-07-07,76,65,71,,55,61,0, 6,,
2,2009-07-08,68,62,65,,55,59,0, 0,,
2,2009-07-09,80,63,72,,58,64,0, 7,,
2,2009-07-10,84,67,76,,65,68,0,11,,
2,2009-07-11,85,68,77,,60,67,0,12,,
2,2009-07-12,82,60,71,,50,60,0, 6,,
2,2009-07-13,78,66,72,,48,59,0, 7,,
2,2009-07-14,81,60,71,,49,60,0, 6,,
2,2009-07-15,86,67,77,,62,67,0,12,,
2,2009-07-16,82,65,74,,57,63,0, 9,,
2,2009-07-17,70,58,64,,52,57,1, 0,,
2,2009-07-18,73,58,66,,52,58,0, 1,,
2,2009-07-19,73,60,67,,53,59,0, 2,,
2,2009-07-20,76,59,68,,56,61,0, 3,,
2,2009-07-21,82,64,73,,56,63,0, 8,,
2,2009-07-22,79,66,73,,59,64,0, 8,,
2,2009-07-23,79,63,71,,60,64,0, 6,,
2,2009-07-24,83,62,73,,60,65,0, 8,,
2,2009-07-25,81,66,74,,59,65,0, 9,,
2,2009-07-26,82,64,73,,59,65,0, 8,,
2,2009-07-27,84,66,75,,61,67,0,10,,
2,2009-07-28,86,68,77,,62,67,0,12,,
2,2009-07-29,79,66,73,,52,61,0, 8,,
2,2009-07-30,80,65,73,,57,63,0, 8,,
2,2009-07-31,82,62,72,,55,62,0, 7,,
2,2009-08-01,75,63,69,,59,63,0, 4,,
2,2009-08-02,79,58,69,,52,59,0, 4,,
2,2009-08-03,86,68,77,,61,66,0,12,,
2,2009-08-04,86,69,78,,63,68,0,13,,
2,2009-08-05,79,66,73,,56,63,0, 8,,
2,2009-08-06,81,62,72,,51,60,0, 7,,
2,2009-08-07,74,67,71,,59,63,0, 6,,
2,2009-08-08,89,69,79,,70,73,0,14,,
2,2009-08-09,92,77,85,,72,75,0,20,,
2,2009-08-10,86,71,79,,66,70,0,14,,
2,2009-08-11,81,65,73,,62,66,0, 8,,
2,2009-08-12,82,63,73,,56,63,0, 8,,
2,2009-08-13,86,63,75,,55,63,0,10,,
2,2009-08-14,88,67,78,,59,66,0,13,,
2,2009-08-15,89,70,80,,61,68,0,15,,
2,2009-08-16,90,71,81,,68,71,0,16,,
2,2009-08-17,83,71,77,,68,71,0,12,,
2,2009-08-18,84,66,75,,61,66,0,10,,
2,2009-08-19,81,64,73,,62,66,0, 8,,
2,2009-08-20,79,64,72,,61,65,0, 7,,
2,2009-08-21,74,59,67,,58,61,0, 2,,
2,2009-08-22,69,58,64,,52,57,1, 0,,
2,2009-08-23,73,58,66,,55,59,0, 1,,
2,2009-08-24,79,57,68,,57,62,0, 3,,
2,2009-08-25,82,61,72,,61,65,0, 7,,
2,2009-08-26,72,64,68,,64,65,0, 3,,
2,2009-08-27,67,62,65,,61,63,0, 0,,
2,2009-08-28,71,61,66,,61,63,0, 1,,
2,2009-08-29,69,56,63,,52,57,2, 0,,
2,2009-08-30,66,51,59,,47,53,6, 0,,
2,2009-08-31,67,49,58,,44,52,7, 0,,
2,2009-09-01,71,50,61,,49,55,4, 0,,
2,2009-09-02,72,53,63,,51,56,2, 0,,
2,2009-09-03,75,57,66,,55,60,0, 1,,
2,2009-09-04,75,58,67,,55,60,0, 2,,
2,2009-09-05,78,57,68,,57,62,0, 3,,
2,2009-09-06,77,66,72,,59,64,0, 7,,
2,2009-09-07,77,63,70,,59,63,0, 5,,
2,2009-09-08,78,62,70,,62,65,0, 5,,
2,2009-09-09,77,68,73,,63,66,0, 8,,
2,2009-09-10,80,65,73,,62,66,0, 8,,
2,2009-09-11,78,64,71,,59,64,0, 6,,
2,2009-09-12,78,61,70,,61,64,0, 5,,
2,2009-09-13,79,57,68,,55,61,0, 3,,
2,2009-09-14,84,59,72,,56,62,0, 7,,
2,2009-09-15,83,63,73,,58,64,0, 8,,
2,2009-09-16,72,62,67,,54,60,0, 2,,
2,2009-09-17,71,54,63,,51,57,2, 0,,
2,2009-09-18,79,52,66,,55,59,0, 1,,
2,2009-09-19,75,58,67,,55,60,0, 2,,
2,2009-09-20,71,54,63,,56,60,2, 0,,
2,2009-09-21,69,63,66,,60,62,0, 1,,
2,2009-09-22,76,63,70,,65,67,0, 5,,
2,2009-09-23,76,62,69,,63,64,0, 4,,
2,2009-09-24,71,64,68,,62,64,0, 3,,
2,2009-09-25,70,60,65,,57,60,0, 0,,
2,2009-09-26,66,56,61,,56,59,4, 0,,
2,2009-09-27,74,53,64,,53,58,1, 0,,
2,2009-09-28,63,50,57,,42,49,8, 0,,
